time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-23T07:07:27.633Z,7.3468,-78.5326,10,4.9,mb,,116,3.196,1.22,us,us7000fwe2,2021-11-23T13:15:41.982Z,"44 km WSW of Jaqué, Panama",earthquake,7.9,1.9,0.071,63,reviewed,us,us
2021-11-23T07:05:31.848Z,7.3572,-78.5369,10,4.8,mb,,110,3.204,0.64,us,us7000fwdv,2021-11-23T10:06:32.693Z,"44 km WSW of Jaqué, Panama",earthquake,7.3,1.9,0.046,149,reviewed,us,us
2021-11-23T05:56:36.195Z,13.0093,-90.2427,49.38,5.4,mww,,120,0.995,0.92,us,us7000fwde,2021-11-24T05:59:52.204Z,"78 km SW of Acajutla, El Salvador",earthquake,3.5,6.7,0.098,10,reviewed,us,us
2021-11-23T00:10:36.256Z,-30.9164,179.6467,447.15,4.5,mb,,71,2.676,0.75,us,us7000fwbg,2021-11-23T00:29:30.040Z,"Kermadec Islands region",earthquake,13.3,9.4,0.075,52,reviewed,us,us
2021-11-22T21:36:02.158Z,-5.8172,152.1509,10,5.5,mb,,61,1.615,0.88,us,us7000fwap,2021-11-23T21:38:55.927Z,"163 km S of Kokopo, Papua New Guinea",earthquake,7.9,1.9,0.048,149,reviewed,us,us
2021-11-22T21:13:54.122Z,0.4349,96.7325,10,4.9,mww,,100,1.206,0.61,us,us7000fwac,2021-11-22T21:36:19.040Z,"229 km S of Sinabang, Indonesia",earthquake,7.3,1.8,0.098,10,reviewed,us,us
2021-11-22T20:59:18.952Z,-32.7857,-177.0885,10,4.8,mb,,112,3.584,1.01,us,us7000fwa7,2021-11-22T21:33:56.040Z,"south of the Kermadec Islands",earthquake,7,1.9,0.111,28,reviewed,us,us
2021-11-22T17:10:33.482Z,-18.1393,-178.2932,565.76,4.8,mb,,79,3.5,0.86,us,us7000fw8x,2021-11-22T21:01:45.040Z,"253 km E of Levuka, Fiji",earthquake,10.7,6.5,0.027,416,reviewed,us,us
2021-11-22T15:48:11.607Z,-2.7813,126.6382,11.88,4.5,mb,,71,3.603,0.39,us,us7000fw7l,2021-11-22T16:26:58.040Z,"199 km WNW of Ambon, Indonesia",earthquake,8.2,6.1,0.113,23,reviewed,us,us
2021-11-22T15:44:13.119Z,-14.9869,-177.6875,368.06,4.5,mb,,129,0.795,0.48,us,us7000fw7k,2021-11-22T16:53:12.040Z,"87 km SSE of Alo, Wallis and Futuna",earthquake,12.5,6,0.04,185,reviewed,us,us
2021-11-22T15:12:05.776Z,17.3598,145.7842,205.27,4.8,mb,,72,3.851,0.62,us,us7000fw7h,2021-11-22T15:48:40.040Z,"237 km N of Saipan, Northern Mariana Islands",earthquake,10,7.1,0.03,352,reviewed,us,us
2021-11-22T14:26:44.430Z,24.2461,123.5191,31.42,4.6,mb,,106,0.512,0.79,us,us7000fw76,2021-11-22T15:09:03.040Z,"58 km ESE of Yonakuni, Japan",earthquake,4.5,4.8,0.073,59,reviewed,us,us
2021-11-22T08:31:25.728Z,39.7588,41.8597,10,4.7,mb,,29,1.079,0.57,us,us7000fw5n,2021-11-22T09:08:18.040Z,"25 km WNW of Karayazı, Turkey",earthquake,4.7,1.9,0.056,97,reviewed,us,us
2021-11-22T07:42:47.534Z,19.8295,-70.6678,10,4.5,mwr,,73,0.403,0.7,us,us7000fw4z,2021-11-23T07:09:56.546Z,"4 km NNE of Puerto Plata, Dominican Republic",earthquake,4.1,1.9,0.063,24,reviewed,us,us
2021-11-22T02:45:17.415Z,-17.8989,-178.5272,520,4.6,mb,,58,3.261,0.96,us,us7000fw34,2021-11-22T03:20:46.040Z,"Fiji region",earthquake,11.3,6,0.029,343,reviewed,us,us
2021-11-22T01:22:50.936Z,-58.0156,-25.7595,35,5.2,mb,,56,7.062,0.72,us,us7000fw26,2021-11-22T01:37:29.040Z,"South Sandwich Islands region",earthquake,9.4,1.9,0.062,87,reviewed,us,us
2021-11-22T00:23:41.678Z,-8.0337,104.3983,10,4.5,mb,,160,2.717,0.71,us,us7000fw1m,2021-11-22T00:41:15.040Z,"241 km SW of Labuan, Indonesia",earthquake,5.9,1.8,0.121,20,reviewed,us,us
2021-11-21T22:22:15.271Z,-16.9856,-72.1643,50,4.8,mb,,139,2.217,0.47,us,us7000fw19,2021-11-22T01:47:33.040Z,"6 km W of Islay (Matarani), Peru",earthquake,3.9,2,0.093,36,reviewed,us,us
2021-11-21T22:11:44.873Z,-16.8509,175.3562,10,4.9,mb,,50,2.725,0.75,us,us7000fw18,2021-11-22T19:28:44.192Z,"238 km WNW of Lautoka, Fiji",earthquake,9.3,1.9,0.066,71,reviewed,us,us
2021-11-21T11:50:59.077Z,-23.9046,-70.7373,42.69,4.7,mwr,,122,0.424,0.58,us,us7000fvy7,2021-11-21T12:31:02.585Z,"44 km SW of Antofagasta, Chile",earthquake,4.5,5.6,0.044,49,reviewed,us,us
2021-11-21T11:36:46.192Z,-59.5612,-26.307,39.48,4.9,mb,,80,15.372,0.48,us,us7000fvy5,2021-11-21T11:54:10.040Z,"South Sandwich Islands region",earthquake,11.3,6.8,0.065,74,reviewed,us,us
2021-11-21T10:57:25.747Z,-6.9985,-76.0031,49.38,4.7,mb,,149,3.351,0.69,us,us7000fvxw,2021-11-21T11:42:22.040Z,"37 km ESE of Picota, Peru",earthquake,10.5,21,0.111,25,reviewed,us,us
2021-11-21T10:51:01.724Z,28.528,104.83,10,4.6,mb,,31,7.22,0.65,us,us7000fvxp,2021-11-21T11:10:55.040Z,"13 km NE of Xunchang, China",earthquake,8.7,1.9,0.071,59,reviewed,us,us
2021-11-21T05:12:28.521Z,-29.3954,-176.8842,10,5.6,mww,,61,0.914,0.9,us,us7000fvvz,2021-11-22T18:24:40.040Z,"Kermadec Islands region",earthquake,7.5,1.9,0.098,10,reviewed,us,us
2021-11-20T22:42:59.254Z,6.6651,126.6299,101.6,4.9,mww,,77,1.118,0.94,us,us7000fvu3,2021-11-20T22:58:08.040Z,"40 km SE of Bobon, Philippines",earthquake,6.2,6,0.098,10,reviewed,us,us
2021-11-20T22:06:40.844Z,-1.9731,-80.1051,65.96,4.6,mb,,113,2.027,0.77,us,us7000fvu1,2021-11-21T09:06:35.044Z,"10 km SSW of Lomas de Sargentillo, Ecuador",earthquake,8.9,9,0.064,74,reviewed,us,us
2021-11-20T19:07:41.450Z,43.6728,147.6926,39.03,4.6,mb,,169,3.712,0.56,us,us7000fvt6,2021-11-20T19:57:30.040Z,"79 km E of Shikotan, Russia",earthquake,10.6,8.3,0.043,172,reviewed,us,us
2021-11-20T18:04:39.245Z,-32.1728,-178.1508,10,5.1,mb,,77,2.908,1.19,us,us7000fvss,2021-11-20T18:22:39.040Z,"south of the Kermadec Islands",earthquake,9.8,1.9,0.084,55,reviewed,us,us
2021-11-20T14:35:48.065Z,6.8982,126.9896,64.43,4.7,mb,,142,1.41,1,us,us7000fvrz,2021-11-20T17:19:43.040Z,"60 km ESE of San Ignacio, Philippines",earthquake,8.5,10.4,0.073,57,reviewed,us,us
2021-11-20T13:40:23.711Z,-22.9163,171.8284,10,5.4,mww,,68,7.033,1.14,us,us7000fvrk,2021-11-21T13:43:00.963Z,"southeast of the Loyalty Islands",earthquake,9,1.8,0.06,27,reviewed,us,us
2021-11-20T12:46:06.403Z,40.7489,48.7585,10,5.1,mb,,49,3.123,0.98,us,us7000fvr9,2021-11-20T15:48:25.127Z,"16 km NE of Shamakhi, Azerbaijan",earthquake,6.1,1.9,0.043,176,reviewed,us,us
2021-11-20T11:12:18.898Z,24.6124,95.0804,128.5,4.5,mb,,59,0.806,0.72,us,us7000fvq9,2021-11-20T11:31:20.040Z,"102 km E of Wāngjing, India",earthquake,9.2,6.5,0.075,52,reviewed,us,us
2021-11-20T10:57:53.511Z,-15.6075,167.6032,127.94,5.6,mww,,41,0.417,0.84,us,us7000fvq5,2021-11-22T18:30:34.040Z,"48 km ESE of Luganville, Vanuatu",earthquake,8.9,3.9,0.044,50,reviewed,us,us
2021-11-20T08:34:56.300Z,28.3756,143.5338,10,5,mww,,160,5.706,0.68,us,us7000fvpl,2021-11-20T08:52:36.040Z,"Bonin Islands, Japan region",earthquake,11.3,1.9,0.098,10,reviewed,us,us
